rank,frequency,lemma,indonesia
98,925.92,日本,Jepang
99,924.53,おる,Ya.
100,915.56,一,Satu.
101,898.33,ので,Maafkan aku.
102,895.11,いく,Ini dia.
103,885.3,だけ,Hanya...
104,877.59,何,Apa?
105,875.29,よ,Hei.
106,873.44,I,Aku...
107,840.65,自分,Aku.
108,839.58,しまう,Aku sudah selesai.
109,838.17,について,Tentang.
110,834.18,R,R
111,829.72,方,Siapa?
112,825.32,E,E
113,819.66,時,Waktu
114,799.41,D,D
115,791.48,ぬ,Tidak.
116,782.05,問題,Masalahnya
117,772.03,考える,Kurasa.
118,766.23,O,O.
119,748.27,せる,Aku akan melakukannya.
120,737.44,また,Aku akan lihat nanti.
121,734.08,N,N
122,725.64,B,B
123,716.75,f,f
124,705.48,『,'
125,703.35,今,Sekarang.
126,702.19,』,'
127,699.98,みる,Aku akan lihat.
128,698.53,L,L
129,695.44,でも,Tapi...
130,675.63,やる,Aku akan melakukannya.
131,661.99,わけ,Kenapa?
132,650.23,ござる,"Ya, Pak."
133,642.6,たち,. . .
134,638.75,ところ,Hei.
135,633.91,．,Maafkan aku.
136,627.78,さ,Aku tidak tahu.
137,615.98,いい,Oke.
138,596.98,って,Apa?
139,590.87,前,Sebelumnya
140,585.7,第,"Tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak."
141,580.14,たり,Aku tidak tahu.
142,577.58,性,Seks.
143,568.04,行く,Mari kita pergi.
144,563.69,より,"Tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak,"
145,561.3,そして,Dan...
146,560.8,けど,Tapi...
147,559.79,どう,Hei.
148,551.97,出る,Aku keluar.
149,550.77,時間,Waktu
150,549.7,会,Rapat
151,537.33,書く,Menulis
152,534.03,円,Lingkaran
153,533.8,二,Dua.
154,533.04,し,Shh.
155,527.77,場合,Jika kau tidak keberatan.
156,526.2,持つ,Ambillah.
157,515.52,必要,DIPERLUKAN
158,508.95,情報,Informasi
159,501.01,○,○
160,495.56,しかし,Tapi...
161,492.98,F,F
162,484.8,v,v
163,481.44,とき,Ketika
164,480.73,コメント,Komentar
165,478.1,化,Entrepreneurisasi
166,471.03,上,Puncak
167,465.43,事,Ini masalah.
168,464.3,W,W
169,464.22,使う,Gunakan
170,462.43,行う,Aku akan melakukannya.
171,459.92,な,Hei.
172,455.18,ご,Hei.
173,453.58,話,Bicara
174,453.14,くれる,Aku akan memberikannya kepada Anda.
175,451.09,U,U
176,446.16,ながら,Aku tidak tahu.
177,442.95,よい,Bagus.
178,442.7,H,H
179,441.97,本,Sebuah buku.
180,432.09,じゃ,Bye.
181,430.8,ここ,Ini.
182,429.1,分,men
183,426.14,十,10
184,425.43,目,EYE
185,424.65,多い,Banyak.
186,421.45,知る,Aku tahu.
187,420.74,■,▪
188,418.19,G,G
189,412.67,今日,Hari ini
190,411.1,良い,Bagus.
191,408.98,関係,Hubungan
192,404.21,委員,Komite
193,403.3,後,Setelah
194,401.69,かも,Mungkin.
195,398.34,家,Rumah
196,394.48,そういう,Ya.
197,392.28,聞く,Dengar.
198,389.5,世界,Dunia
199,389.34,気,Gugup.
200,383.39,点,Poin
201,382.65,万,"Oh, Tuhan."
202,381.6,べし,Mari kita pergi.
203,381.48,】,Ini hanya masalah waktu.
204,380.55,【,Ini hanya masalah waktu.
205,379.18,もう,Sial.
206,379.03,わかる,Aku tahu.
207,377.46,バック,Mundur
208,375.34,社会,Masyarakat
209,375.02,読む,Baca
210,372.01,入る,Aku ikut.
211,371.13,〜,"Oh, Tuhan."
212,369.72,来る,Dia datang.
213,364.89,トラック,Trek
214,360.33,によって,Itulah yang saya bicarakan.
215,360.12,仕事,Kerja.
216,358.01,同じ,Sama saja.
217,355.9,数,% 1 petameters
218,354.41,記事,ANIMAL
219,346.64,いただく,Aku akan mengambilnya.
220,344.83,彼,Dia.
221,344.38,大,Besar
222,343.9,国,Negara
223,336.74,等,"Hey, hey, hey, hey, hey, hey, hey, hey, hey."
224,330.72,くださる,Aku akan memberikannya kepada Anda.
225,330.49,_,_
226,329.46,回,Kekambuhan
227,328.05,三,Tiga.
228,326.9,とか,Atau...
229,324.74,君,Kau.
230,324.66,法,Hukum
231,323.97,K,K
232,321.75,意味,Artinya
233,319.16,力,Daya
234,319.0,以上,Itu saja.
235,318.59,J,J.
236,313.99,会社,Perusahaan
237,310.14,j,Aku tidak tahu.
238,310.05,よる,Itulah yang saya bicarakan.
239,306.4,ほど,Berapa banyak?
240,305.97,そんな,Tidak.
241,305.03,人間,Manusia.
242,304.93,★,Ini hanya masalah waktu.
243,303.63,V,V
244,298.63,現在,Sekarang
245,296.6,作る,Aku akan berhasil.
246,292.74,企業,CENTRAL
247,292.72,氏,Mr. White.
248,288.24,ちょっと,Hei.
249,287.31,間,Interval
250,286.66,可能,Mungkin
251,285.81,感じる,Aku bisa merasakannya.
252,285.39,出す,Aku akan mengeluarkannya.
253,285.14,研究,Belajar
254,282.27,投稿,Post
255,281.68,他,Lainnya
256,280.77,アメリカ,AS
257,280.21,しれる,Aku bisa.
258,278.23,けれども,Tapi...
259,276.63,リンク,Taut
260,276.54,今回,Kali ini.
261,274.0,いたす,Aku akan segera kembali.
262,273.68,高い,Tinggi
263,273.29,す,Mm-hmm.
264,271.58,次,Berikutnya.
265,269.14,ら,Hei.
266,267.39,言葉,Kata
267,265.75,こういう,Seperti ini.
268,263.75,おく,Simpan
269,263.45,僕,Aku.
270,262.13,出来る,"Ya, kau bisa."
271,261.99,受ける,Menerima
272,261.92,●,●
273,260.39,x,x
274,259.69,経済,EKONOMI
275,256.89,あなた,Kau.
276,256.71,手,Tangan.
277,256.65,もらう,Aku akan mengambilnya.
278,256.52,そこ,Disana.
279,255.07,による,Tergantung.
280,255.0,最近,Baru-baru ini
281,254.97,結果,Hasil
282,254.9,買う,Aku akan membelinya.
283,253.91,度,Derajat
284,253.66,％,%
285,252.95,しか,Hanya itu yang kupunya.
286,250.53,違う,Tidak.
287,250.2,映画,Film
288,249.95,／,/
289,249.49,先生,Dokter.
290,248.26,生活,Life
291,248.1,にる,Menekan
292,247.4,金,Uang.
293,244.07,＝,=
294,243.86,時代,Waktu
295,243.73,政府,Pemerintah
296,243.43,非常,"Oh, Tuhan."
297,242.38,得る,Ambil.
298,241.47,御,Hei.
299,241.29,＞,Maafkan aku.
300,240.17,店,Ini toko.
301,238.49,くらい,Berapa banyak?
302,238.11,まだ,Belum.
303,237.28,において,Ngomong-ngomong.
304,236.88,内容,Isi
305,236.87,^,^
306,235.68,一つ,Satu.
307,234.72,心,Jantung.
308,234.25,――,"- Oh, Tuhan."
309,232.04,説明,Deskripsi
310,229.48,写真,Foto
311,228.05,ただ,Aku hanya...
312,226.71,サイト,Situs web
313,226.58,教育,Pendidikan
314,226.45,女性,Wanita.
315,226.31,子供,Anak
316,225.14,方法,Metode
317,224.28,に対して,Kurasa tidak.
318,222.91,＊,*
319,222.41,大きい,Ini besar.
320,222.4,あるいは,Atau...
321,221.21,名,Nama
322,220.74,利用,Gunakan
323,219.77,さらに,Dan banyak lagi.
324,217.76,少し,Sedikit.
325,216.88,紹介,Saya ingin memperkenalkan Anda.
326,215.72,技術,Technologies
327,214.35,いろいろ,Banyak hal.
328,214.08,なんて,"Oh, Tuhan."
329,212.05,名前,Nama
330,211.93,参加,Berpartisipasi
331,210.77,らしい,Kurasa begitu.
332,210.53,分かる,Aku tahu.
333,210.02,大きな,Besar.
334,209.23,食べる,Makan.
335,209.06,感じ,Rasakan.
336,207.54,やはり,Kurasa tidak.
337,207.51,☆,itu hanya masalah waktu sebelum terlambat.
338,206.32,く,Shh.
339,206.09,うち,Rumahku.
340,205.4,入れる,Aku akan masuk.
341,204.39,見える,Aku bisa melihatnya.
342,204.21,どの,Yang mana?
343,203.3,にとって,Untukku.
344,202.03,活動,Aktivitas
345,201.93,東京,Tokyo
346,201.75,好き,Aku menyukaimu.
347,200.53,どこ,Dimana?
348,199.85,かなり,Kurang lebih begitu.
349,199.82,こんな,"Oh, Tuhan."
350,199.37,状況,Situasinya
351,198.03,五,Lima.
352,197.61,新しい,Baru.
353,197.04,に対する,Aku tidak tahu apa yang harus dilakukan dengan itu.
354,196.81,無い,Tidak.
355,195.51,強い,Kuat.
356,195.49,管理,Kelola
357,195.39,特に,Tidak juga.
358,195.09,環境,Lingkungan
359,194.74,ページ,Halaman
360,194.55,Y,Y
361,193.88,のに,"Oh, Tuhan."
362,193.1,地域,Luas
363,192.97,始める,Mari kita pergi.
364,192.95,本当に,Sungguh.
365,192.82,悪い,Maafkan aku.
366,192.48,実際,Sebagai soal fakta.
367,192.21,中国,China
368,191.93,市,Kota
369,191.78,先,Silakan.
370,190.95,誰,Siapa?
371,190.82,個人,Pribadi
372,190.46,意見,Sebuah pendapat.
373,189.75,状態,Status
374,189.63,歳,Umur
375,189.42,大学,College
376,188.97,多く,Lebih
377,188.77,物,Sesuatu.
378,188.45,存在,Keberadaan
379,188.12,最後,Terakhir
380,187.65,終わる,Ini sudah berakhir.
381,187.33,笑,Senyum.
382,187.29,つく,Ya.
383,187.2,システム,Sistem
384,187.14,すべて,Semua
385,187.08,彼女,Dia.
386,187.03,理解,Memahami
387,186.94,学校,Sekolah.
388,186.57,部分,Bagian
389,186.11,とても,Sangat.
390,185.07,電話,Telepon.
391,184.27,用,ER
392,183.79,部,Seksi
393,183.79,z,z
394,183.71,県,FILIPINA
395,183.44,日記,Jurnal
396,182.73,メール,Surel
397,182.62,いける,Kita baik-baik saja.
398,182.61,制度,Sistem
399,182.53,続ける,Lanjutkan
400,182.02,使用,Gunakan
401,181.44,スる,Sweeney.
402,180.72,事業,Bisnis
403,180.23,四,Empat.
404,179.81,固定,Tetap
405,179.64,調査,Riset
406,179.63,変わる,Ubah
407,179.62,続く,Lanjutkan
408,179.34,基本,Dasar
409,179.33,もちろん,Tentu saja.
410,178.76,関連,Asosiasi
411,178.74,一般,Umum
412,178.1,あと,Dan...
413,176.87,開発,Development
414,176.36,あの,Hei.
415,175.97,音楽,Musik
416,175.91,一番,Terbaik.
417,175.29,内,Di dalam
418,175.26,作品,Pekerjaan.
419,175.01,側,Samping
420,175.01,重要,Penting
421,174.61,X,X
422,172.48,とる,Aku akan mengambilnya.
423,172.16,最初,Pertama
424,171.57,様,Hei.
425,171.54,達,Hei.
426,171.28,国民,Bangsa
427,171.16,サービス,Layanan
428,171.15,もっと,"Ayo, ayo, ayo, ayo."
429,169.37,に関する,Tentang.
430,169.02,こちら,Lewat sini.
431,168.92,かける,Aku akan melakukannya.
432,168.9,水,Air.
433,167.35,新,Tidak.
434,167.05,つける,Aku akan memakainya.
435,166.62,事件,Case
436,166.43,英語,InggrisName
437,166.1,所,- Dimana?
438,166.04,質問,Pertanyaan
439,165.95,形,Formulir
440,165.92,ほとんど,Hampir.
441,164.94,ふう,Ya.
442,164.71,男,Seorang pria.
443,164.59,はず,Itulah yang saya bicarakan.
444,164.46,まず,"Pertama-tama,"
445,162.65,約,Tentang
446,162.27,こう,Ini yang akan kulakukan.
447,161.62,主義,Ateisme
448,161.22,下,Dasar
449,161.05,場,ABAD
450,160.92,ちゃん,Benar.
451,160.42,理由,Kenapa?
452,160.28,書,Buku
453,158.75,社,Perusahaan
454,158.66,──,"- Oh, Tuhan."
455,158.39,ン,Mm-hmm.
456,158.24,場所,Lokasi
457,158.21,機能,Fungsi
458,157.92,米,AS
459,157.28,お願い,Kumohon.
460,157.16,労働,Tenaga Kerja
461,157.08,いつも,Selalu.
462,157.03,→,→
463,156.94,車,Mobil.
464,156.65,相手,Yang satunya.
465,155.93,国際,INTERNASIONAL
466,155.92,自身,Aku.
467,155.19,声,Suara
468,154.93,取る,Aku akan mengambilnya.
469,154.72,計画,Rencana.
470,154.49,かかる,Semua akan baik-baik saja.
471,154.39,ほう,Oh.
472,154.32,政治,Politik
473,153.9,別,Tidak.
474,153.26,ばかり,Aku belum pernah melihat yang seperti ini.
475,153.09,系,Sistem
476,153.02,感,Akal
477,152.03,億,Miliaran
478,151.62,頃,Sekitar...
479,151.62,号,Tidak.
480,151.54,における,Dan itulah yang akan saya bicarakan.
481,151.46,長,Long
482,150.29,日本人,Jepang.
483,150.17,今後,Mulai sekarang.
484,149.83,つまり,Maksudku...
485,149.08,呼ぶ,Aku akan melaporkannya.
486,148.88,まま,Diam.
487,148.87,下さる,"Ya, Pak."
488,148.58,文化,Kebudayaan
489,147.55,体,Tubuh
490,146.78,与える,Berikan.
491,146.77,こ,Ayo.
492,146.45,ちゃう,"Oh, sial."
493,146.23,大変,"Oh, Tuhan."
494,145.2,彼ら,Itu mereka.
495,145.09,評価,Peringkat
496,145.05,百,100
497,144.97,やすい,Mudah
498,144.41,対応,Tanggung Jawab
499,144.24,求める,Tanya
500,144.03,権,Hak Asasi
501,143.8,頭,Head
502,143.68,あまり,Tidak banyak.
503,143.56,子,Anak
504,143.0,自由,Kebebasan.
505,142.95,｜,Aku tidak tahu.
506,142.52,すぎる,Ini terlalu banyak.
507,141.0,昨日,Kemarin.
508,140.29,みたい,Seperti itu.
509,140.19,すぐ,Sekarang.
510,140.17,これから,"Mulai sekarang,"
511,140.15,戻る,Mundur
512,140.06,歴史,Riwayat
513,140.04,全体,Total
514,140.0,長い,Long
515,139.89,少ない,Tidak banyak.
516,139.81,気持ち,Emosi
517,139.6,報告,Laporkan.
518,139.27,程度,Derajat
519,138.83,◆,◆
520,138.74,元,Mantan.
521,138.57,人々,Orang
522,138.48,＜,<
523,138.24,予定,Jadwal
524,137.97,代表,The Representatif.
525,137.68,その後,Dan kemudian...
526,137.65,経験,Pengalaman
527,137.59,型,Tipe
528,136.95,員,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey."
529,136.92,ネット,Net
530,136.82,以外,Kecuali.
531,136.79,なぁ,Hei.
532,136.58,今年,"(Untuk keterangan lengkap, lihat publikasinya)"
533,136.52,価格,Harga
534,136.15,投資,Investasi
535,135.9,経営,Manajemen
536,135.84,早い,Masih pagi.
537,135.61,ニュース,Berita
538,135.16,帰る,Aku akan pulang.
539,134.39,それぞれ,Masing-masing.
540,134.32,自然,Alam.
541,134.2,商品,Produk
542,133.86,なかなか,Itu bagus.
543,133.81,発表,Pengumuman
544,133.43,教える,Aku akan memberitahu Anda.
545,133.41,目的,Tujuan
546,132.97,影響,Efek
547,132.9,地方,RUBRIK
548,132.89,生きる,Live
549,132.84,だから,Jadi...
550,132.84,テレビ,TV
551,132.07,一緒,Bersama.
552,132.0,面,Permukaan
553,131.48,顔,Wajah
554,131.42,選手,Pemain.
555,131.4,楽しい,Ini menyenangkan.
556,130.5,道,The Way
557,130.39,けれど,Tapi...
558,130.26,みんな,Teman-teman.
559,130.06,子ども,ANAK - ANAK
560,129.91,実は,"Sebagai soal fakta,"
561,129.79,確か,Tentu.
562,129.69,でる,Ya.
563,129.53,千,"1,000"
564,129.28,確認,Konfirmasi
565,129.08,ありがとう,Terima kasih.
566,128.74,夜,Malam
567,128.69,例えば,"Misalnya,"
568,128.56,中心,Tengah
569,128.42,市場,Pasar
570,128.21,音,Suara
571,128.18,提供,Menawarkan
572,127.82,事実,Fakta-fakta.
573,127.61,地,Bumi
574,127.43,簡単,Mudah
575,127.26,面白い,Itu lucu.
576,127.26,朝,Pagi
577,127.13,版,Diterjemahkan oleh mumetndase.
578,127.03,学,Etnik
579,127.02,なぜ,Kenapa?
580,127.0,当然,Tentu saja.
581,126.97,以下,"Tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak."
582,126.89,責任,KEBANGSAIAN
583,126.67,六,Enam.
584,126.29,ゲーム,Permainan
585,126.23,議論,Kontroversial
586,126.04,これら,Ini.
587,125.89,以前,Sebelumnya
588,125.78,位,Posisi
589,125.74,データ,Data
590,125.06,示す,Tampilkan
591,124.69,判断,Penilaianmu.
592,124.62,例,Contoh
593,124.4,専門,Khusus
594,124.3,家族,Keluarga.
595,123.87,しかも,Dan...
596,123.71,初めて,Untuk pertama kalinya.
597,123.55,勉強,Belajar
598,123.19,申し上げる,Begini saja.
599,123.18,話す,Aku akan memberitahu Anda.
600,123.02,もつ,Semuanya ada di sana.
601,122.97,期待,Diduga
602,122.69,難しい,Sulit.
603,122.57,そこで,Disana.
604,122.48,いま,Sekarang.
605,122.4,全く,"Oh, Tuhan."
606,122.05,韓国,Korea
607,122.0,外,Keluar.
608,122.0,たくさん,Banyak.
609,121.97,効果,Efek
610,121.79,検討,Pertimbangan
611,121.62,各,Masing-masing
612,121.33,普通,Normal
613,121.21,組織,Organisasi
614,121.06,政策,Kebijakan
615,120.81,町,Kota
616,120.6,行動,Aksi
617,119.66,年間,Tahun
618,119.45,こそ,Itulah yang saya bicarakan.
619,119.45,置く,Letakkan.
620,119.39,率,Rasio
621,119.23,当時,Dulu.
622,119.0,学生,Siswa.
623,118.9,飲む,Aku akan minum.
624,118.29,海,"(Untuk keterangan lengkap, lihat publikasinya)"
625,117.84,よく,Beraninya kau?
626,117.61,販売,Penjualan
627,117.58,どんな,Seperti apa?
628,117.22,つつ,"Dengan "" Sedarlah! """
629,116.96,購入,Pembelian
630,116.84,科学,22 / 6
631,116.41,監督,Oversight.
632,116.37,意識,Kesadaran.
633,115.67,認める,Aku akan mengakuinya.
634,115.65,欲しい,Aku menginginkannya.
635,115.08,九,Sembilan.
636,115.05,わ,Wow.
637,114.99,通り,Jalan
638,114.83,とも,Begini saja.
639,114.49,立つ,Berdiri.
640,114.26,生産,Produksi
641,113.89,表現,Ekspresi
642,113.8,戦争,PERANG
643,113.73,ねる,Mm-hmm.
644,113.68,参考,Referensi
645,113.58,始まる,Mulai
646,113.4,ひとつ,Satu.
647,113.14,その他,Lain-lain
648,112.98,決定,Keputusan
649,112.76,まあ,Oh.
650,112.73,ぐらい,Tidak banyak.
651,112.62,＆,&
652,112.56,曲,Musik
653,112.49,同,Sama
654,112.39,ク,Begini saja.
655,112.26,やっぱり,Aku tahu itu.
656,112.23,法律,Hukum
657,111.96,機関,Enforcement
658,110.75,開く,Buka
659,110.53,ビジネス,Bisnis
660,110.19,さて,Oke.
661,110.03,対象,Subjek
662,109.98,チーム,Tim
663,109.68,現実,Kenyataan
664,109.52,進む,Maju
665,109.51,対策,Apa yang Dapat Dilakukan?
666,109.11,作業,Kantor
667,108.78,すごい,"Oh, Tuhan."
668,108.72,価値,Nilai
669,108.57,テーマ,Tema
670,108.55,十分,Cukup.
671,108.48,含む,Sertakan
672,108.47,一部,Beberapa
673,108.25,語,Bahasa
674,108.22,決める,Terserah padamu.
675,108.12,姿,Lihat dirimu.
676,108.08,新聞,Kertas.
677,108.04,一方,"Di sisi lain,"
678,107.87,風,Wind
679,107.79,八,Delapan.
680,107.52,際,Ketika
681,107.31,考え,Thoughts
682,107.11,ラ,La.
683,107.1,残る,Aku tetap di sini.
684,107.07,論,Teori
685,106.84,のみ,Hanya
686,106.71,全て,Semuanya.
687,106.52,及び,Oh.
688,106.51,大臣,Menteri.
689,106.48,神,Tuhan.
690,106.22,国家,Nasional
691,105.95,件,RUBRIK TETAP
692,105.94,語る,Bicaralah
693,105.86,毎日,Setiap hari.
694,105.82,俺,Aku.
695,105.8,試合,Permainan
696,105.68,もし,Jika kau tidak keberatan.
697,105.26,七,Tujuh.
698,105.25,ま,"Oh, Tuhan."
699,105.21,会議,Rapat
700,105.07,いつ,Kapan?
701,105.02,指摘,Poin.
702,104.86,言える,Aku bisa.
703,104.83,＾,^
704,104.76,歩く,Jalan.
705,104.72,製品,Produk
706,104.69,変化,Perubahan
707,104.49,結局,Pada akhirnya.
708,104.46,消費,Pengeluaran
709,104.3,保険,Asuransi
710,103.99,り,?
711,103.88,具体,spesifik
712,103.75,あげる,Aku akan memberikannya kepada Anda.
713,103.74,人生,Kehidupan.
714,103.7,量,Banyaknya
715,103.41,米国,AS
716,103.2,表示,Tilik
717,102.9,変える,Ubah
718,102.84,精神,Roh
719,102.78,街,Kota
720,102.65,過去,Masa Lalu
721,102.53,レベル,Tingkat
722,102.52,我々,Kita.
723,102.04,インターネット,Internet
724,101.83,能力,Kemampuan
725,101.8,選ぶ,Pilih
726,101.67,指導,PERUSAHAAN
727,101.22,更新,Perbarui
728,100.92,公開,Publik
729,100.65,日本語,Jepang
730,100.63,皆さん,Ladies and gentlemen.
731,100.02,働く,Bekerja
732,100.02,―,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
733,100.0,屋,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey"
734,99.95,ほか,Lainnya
735,99.66,女,Wanita.
736,99.49,昔,Sudah lama sekali.
737,99.37,担当,Ini pekerjaanku.
738,99.3,費,Pengeluaran
739,99.25,わたし,Aku...
740,99.17,送る,Kirim
741,99.11,明日,Besok.
742,99.09,旅行,Perjalanan
743,99.05,夢,Mimpi
744,98.94,それから,Dan kemudian...
745,98.8,明らか,Jelas.
746,98.74,乗る,Masuk.
747,98.43,つくる,Aku akan berhasil.
748,97.94,＿,_
749,97.71,木,Pohon
750,97.6,機,Pesawat.
751,97.58,大切,Penting
752,97.55,忘れる,Lupakan saja.
753,97.53,局,"Maafkan aku, maafkan aku, maafkan aku."
754,97.42,行政,Administratif
755,97.4,安全,Aman.
756,97.31,外国,Asing
757,97.27,増える,Meningkatkan
758,96.97,お金,Uang.
759,96.71,資料,Sumber
760,96.57,部屋,Kamar.
761,96.4,行為,Aksi
762,96.35,あ,Oh.
763,96.31,平成,Pyongyang
764,96.1,いや,Tidak.
765,96.04,なん,Apa?
766,96.02,楽しむ,Nikmatilah.
767,95.97,色,Warna
768,95.82,待つ,Tunggu
769,95.74,登録,Pendaftaran
770,95.66,ドイツ,Jerman
771,95.61,うまい,Ini bagus.
772,95.5,設定,Pengaturan
773,95.28,どういう,Apa maksudmu?
774,95.27,述べる,Begini saja.
775,95.19,成功,Berhasil
776,95.03,努力,Upaya
777,94.95,戦,PERANG
778,94.7,団体,Grup
779,94.63,につきまして,Tunggu.
780,94.58,支援,Dukungan
781,94.53,最も,Terbaik
782,94.49,自己,SELF
783,94.46,全,Semua
784,94.45,年度,Tahun
785,94.44,運動,Latihan.
786,94.27,構造,Struktur
787,94.26,特別,Spesial.
788,94.21,ド,Lakukan.
789,94.0,解決,Dipecahkan
790,93.78,完全,Sempurna.
791,93.59,品,Ini bagus.
792,93.53,訳,Subtitles By Tameem666
793,93.33,向かう,Aku segera ke sana.
794,93.13,男性,Pria.
795,93.1,結構,"Tidak, terima kasih."
796,93.06,産業,Industri
797,92.87,軍,Tentara
798,92.77,主,Tuhan
799,92.33,に関して,Sejauh yang kutahu.
800,92.25,人気,Popularitas
801,92.23,お話,Aku ingin bicara denganmu.
802,92.05,駅,Stasiun
803,92.04,描く,Gambar
804,92.02,近く,Hampir.
805,91.96,最終,Akhir
806,91.37,ドル,Dolar U.S.
807,91.35,過ぎる,Terlalu banyak.
808,91.33,保護,Perlindungan
809,91.28,上げる,Naik.
810,91.26,再,Putar Balik
811,91.15,グループ,Grup
812,91.11,生,Dia hidup.
813,91.09,ポイント,Poin
814,90.88,ども,Hei.
815,90.86,センター,Tengah
816,90.86,開催,"PHILADELPHIA, PA, Veterans Memorial Coliseum."
817,90.84,方向,Orientasi
818,90.83,改革,Reformasi
819,90.8,検索,Cari
820,90.77,走る,Lari.
821,90.75,生まれる,Dia datang.
822,90.72,□,□
823,90.59,起こる,Ini terjadi.
824,90.12,Q,Q
825,89.95,健康,Kesehatan
826,89.89,障害,Cacat
827,89.86,ヶ月,Berbulan-bulan.
