rank,frequency,lemma,indonesia,lemma_length,kanji_ratio,cluster,kanji_category
337,207.51,☆,itu hanya masalah waktu sebelum terlambat.,1,0.0,0,Non-Kanji
338,206.32,く,Shh.,1,0.0,0,Non-Kanji
339,206.09,うち,Rumahku.,2,0.0,0,Non-Kanji
340,205.4,入れる,Aku akan masuk.,3,0.3333333333333333,0,Kanji
341,204.39,見える,Aku bisa melihatnya.,3,0.3333333333333333,0,Kanji
342,204.21,どの,Yang mana?,2,0.0,0,Non-Kanji
343,203.3,にとって,Untukku.,4,0.0,1,Non-Kanji
344,202.03,活動,Aktivitas,2,1.0,0,Kanji
345,201.93,東京,Tokyo,2,1.0,0,Kanji
346,201.75,好き,Aku menyukaimu.,2,0.5,0,Kanji
347,200.53,どこ,Dimana?,2,0.0,0,Non-Kanji
348,199.85,かなり,Kurang lebih begitu.,3,0.0,1,Non-Kanji
349,199.82,こんな,"Oh, Tuhan.",3,0.0,1,Non-Kanji
350,199.37,状況,Situasinya,2,1.0,0,Kanji
351,198.03,五,Lima.,1,1.0,0,Kanji
352,197.61,新しい,Baru.,3,0.3333333333333333,0,Kanji
353,197.04,に対する,Aku tidak tahu apa yang harus dilakukan dengan itu.,4,0.25,1,Kanji
354,196.81,無い,Tidak.,2,0.5,0,Kanji
355,195.51,強い,Kuat.,2,0.5,0,Kanji
356,195.49,管理,Kelola,2,1.0,0,Kanji
357,195.39,特に,Tidak juga.,2,0.5,0,Kanji
358,195.09,環境,Lingkungan,2,1.0,0,Kanji
359,194.74,ページ,Halaman,3,0.0,1,Non-Kanji
360,194.55,Y,Y,1,0.0,0,Non-Kanji
361,193.88,のに,"Oh, Tuhan.",2,0.0,0,Non-Kanji
362,193.1,地域,Luas,2,1.0,0,Kanji
363,192.97,始める,Mari kita pergi.,3,0.3333333333333333,0,Kanji
364,192.95,本当に,Sungguh.,3,0.6666666666666666,0,Kanji
365,192.82,悪い,Maafkan aku.,2,0.5,0,Kanji
366,192.48,実際,Sebagai soal fakta.,2,1.0,0,Kanji
367,192.21,中国,China,2,1.0,0,Kanji
368,191.93,市,Kota,1,1.0,0,Kanji
369,191.78,先,Silakan.,1,1.0,0,Kanji
370,190.95,誰,Siapa?,1,1.0,0,Kanji
371,190.82,個人,Pribadi,2,1.0,0,Kanji
372,190.46,意見,Sebuah pendapat.,2,1.0,0,Kanji
373,189.75,状態,Status,2,1.0,0,Kanji
374,189.63,歳,Umur,1,1.0,0,Kanji
375,189.42,大学,College,2,1.0,0,Kanji
376,188.97,多く,Lebih,2,0.5,0,Kanji
377,188.77,物,Sesuatu.,1,1.0,0,Kanji
378,188.45,存在,Keberadaan,2,1.0,0,Kanji
379,188.12,最後,Terakhir,2,1.0,0,Kanji
380,187.65,終わる,Ini sudah berakhir.,3,0.3333333333333333,0,Kanji
381,187.33,笑,Senyum.,1,1.0,0,Kanji
382,187.29,つく,Ya.,2,0.0,0,Non-Kanji
383,187.2,システム,Sistem,4,0.0,1,Non-Kanji
384,187.14,すべて,Semua,3,0.0,1,Non-Kanji
385,187.08,彼女,Dia.,2,1.0,0,Kanji
386,187.03,理解,Memahami,2,1.0,0,Kanji
387,186.94,学校,Sekolah.,2,1.0,0,Kanji
388,186.57,部分,Bagian,2,1.0,0,Kanji
389,186.11,とても,Sangat.,3,0.0,1,Non-Kanji
390,185.07,電話,Telepon.,2,1.0,0,Kanji
391,184.27,用,ER,1,1.0,0,Kanji
392,183.79,部,Seksi,1,1.0,0,Kanji
393,183.79,z,z,1,0.0,0,Non-Kanji
394,183.71,県,FILIPINA,1,1.0,0,Kanji
395,183.44,日記,Jurnal,2,1.0,0,Kanji
396,182.73,メール,Surel,3,0.0,1,Non-Kanji
397,182.62,いける,Kita baik-baik saja.,3,0.0,1,Non-Kanji
398,182.61,制度,Sistem,2,1.0,0,Kanji
399,182.53,続ける,Lanjutkan,3,0.3333333333333333,0,Kanji
400,182.02,使用,Gunakan,2,1.0,0,Kanji
401,181.44,スる,Sweeney.,2,0.0,0,Non-Kanji
402,180.72,事業,Bisnis,2,1.0,0,Kanji
403,180.23,四,Empat.,1,1.0,0,Kanji
404,179.81,固定,Tetap,2,1.0,0,Kanji
405,179.64,調査,Riset,2,1.0,0,Kanji
406,179.63,変わる,Ubah,3,0.3333333333333333,0,Kanji
407,179.62,続く,Lanjutkan,2,0.5,0,Kanji
408,179.34,基本,Dasar,2,1.0,0,Kanji
409,179.33,もちろん,Tentu saja.,4,0.0,1,Non-Kanji
410,178.76,関連,Asosiasi,2,1.0,0,Kanji
411,178.74,一般,Umum,2,1.0,0,Kanji
412,178.1,あと,Dan...,2,0.0,0,Non-Kanji
413,176.87,開発,Development,2,1.0,0,Kanji
414,176.36,あの,Hei.,2,0.0,0,Non-Kanji
415,175.97,音楽,Musik,2,1.0,0,Kanji
416,175.91,一番,Terbaik.,2,1.0,0,Kanji
417,175.29,内,Di dalam,1,1.0,0,Kanji
418,175.26,作品,Pekerjaan.,2,1.0,0,Kanji
419,175.01,側,Samping,1,1.0,0,Kanji
420,175.01,重要,Penting,2,1.0,0,Kanji
421,174.61,X,X,1,0.0,0,Non-Kanji
422,172.48,とる,Aku akan mengambilnya.,2,0.0,0,Non-Kanji
423,172.16,最初,Pertama,2,1.0,0,Kanji
424,171.57,様,Hei.,1,1.0,0,Kanji
425,171.54,達,Hei.,1,1.0,0,Kanji
426,171.28,国民,Bangsa,2,1.0,0,Kanji
427,171.16,サービス,Layanan,4,0.0,1,Non-Kanji
428,171.15,もっと,"Ayo, ayo, ayo, ayo.",3,0.0,1,Non-Kanji
429,169.37,に関する,Tentang.,4,0.25,1,Kanji
430,169.02,こちら,Lewat sini.,3,0.0,1,Non-Kanji
431,168.92,かける,Aku akan melakukannya.,3,0.0,1,Non-Kanji
432,168.9,水,Air.,1,1.0,0,Kanji
433,167.35,新,Tidak.,1,1.0,0,Kanji
434,167.05,つける,Aku akan memakainya.,3,0.0,1,Non-Kanji
435,166.62,事件,Case,2,1.0,0,Kanji
436,166.43,英語,InggrisName,2,1.0,0,Kanji
437,166.1,所,- Dimana?,1,1.0,0,Kanji
438,166.04,質問,Pertanyaan,2,1.0,0,Kanji
439,165.95,形,Formulir,1,1.0,0,Kanji
440,165.92,ほとんど,Hampir.,4,0.0,1,Non-Kanji
441,164.94,ふう,Ya.,2,0.0,0,Non-Kanji
442,164.71,男,Seorang pria.,1,1.0,0,Kanji
443,164.59,はず,Itulah yang saya bicarakan.,2,0.0,0,Non-Kanji
444,164.46,まず,"Pertama-tama,",2,0.0,0,Non-Kanji
445,162.65,約,Tentang,1,1.0,0,Kanji
446,162.27,こう,Ini yang akan kulakukan.,2,0.0,0,Non-Kanji
447,161.62,主義,Ateisme,2,1.0,0,Kanji
448,161.22,下,Dasar,1,1.0,0,Kanji
449,161.05,場,ABAD,1,1.0,0,Kanji
450,160.92,ちゃん,Benar.,3,0.0,1,Non-Kanji
451,160.42,理由,Kenapa?,2,1.0,0,Kanji
452,160.28,書,Buku,1,1.0,0,Kanji
453,158.75,社,Perusahaan,1,1.0,0,Kanji
454,158.66,──,"- Oh, Tuhan.",2,0.0,0,Non-Kanji
455,158.39,ン,Mm-hmm.,1,0.0,0,Non-Kanji
